N,M,D1_csi,D1_frag_onset,D1_n_comm,D2_max_gini,D2_transition,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D3_entropy,D4_h1_bars,D4_h1_persist,D4_h1_entropy,D4_h1_bars_norm,D4_cycle_rank,D4_cycle_rank_norm,rewire_id
223,263,0.7368421052631579,0.33598182862837817,13,0.5359865470852018,2,0.08116281592015565,0.00364126951247895,0.9453105810130874,6.6757470745801,61,63.0,5.913787860007766,0.273542600896861,77,0.3452914798206278,53
223,263,0.5789473684210527,0.1,13,0.6150592532495086,2,0.06631377211743383,0.0029605177736603747,0.9539608246432172,6.682606668558181,60,60.0,5.90689059560843,0.26905829596412556,75,0.336322869955157,54
223,263,0.5263157894736842,0.16237767391887217,13,0.653006783948488,2,0.05906510686034438,0.0026526859868716353,0.9536345982157733,6.675411110139599,57,57.0,5.832890014164659,0.2556053811659193,78,0.34977578475336324,55
223,263,0.631578947368421,0.20691380811147897,12,0.6180829782329013,2,0.06670954356343545,0.003025940602954122,0.9218170271269019,6.681686102339884,63,65.0,5.960829351489901,0.2825112107623318,78,0.34977578475336324,56
223,263,0.5789473684210527,0.26366508987303583,11,0.5621634323535747,2,0.07415206747090126,0.0033121722674678334,0.9143413495131223,6.678459081708747,60,61.0,5.897950452316899,0.26905829596412556,76,0.34080717488789236,57
223,263,0.5789473684210527,0.20691380811147897,13,0.5984000792180051,2,0.08142373477304593,0.0036483402602903803,0.9447564927562597,6.676025212448188,62,62.0,5.954196310386787,0.27802690582959644,78,0.34977578475336324,58
223,263,0.7368421052631579,0.26366508987303583,13,0.550161833437303,2,0.0736135900040804,0.0033242113364519124,0.9174381805113152,6.679190378026599,64,64.0,5.999999999999908,0.28699551569506726,78,0.34977578475336324,59
223,263,0.6842105263157895,0.16237767391887217,13,0.6378064155646929,2,0.06382421412674442,0.0028855554111234306,0.932101248951646,6.681863283564017,62,64.0,5.9374999999999085,0.27802690582959644,75,0.336322869955157,60
223,263,0.47368421052631576,0.33598182862837817,15,0.6329055962452477,2,0.06373510333067203,0.0028827965785476065,0.9447349812360006,6.680983490658342,60,60.0,5.90689059560843,0.26905829596412556,77,0.3452914798206278,61
223,263,0.5789473684210527,0.42813323987193935,12,0.5741537855328699,2,0.06993292460310963,0.003137362630205159,0.9207089935952789,6.676427733207241,61,63.0,5.913787860007766,0.273542600896861,78,0.34977578475336324,62
