D1_csi,D2_max_gini,D3_alg_conn,D3_fiedler_bim,D3_norm_gap,D4_cycle_rank_norm,accepted_swaps,is_dag
0.5789473684210527,0.5066034966035217,0.1332646052175722,0.4737277528211423,0.006046159882172167,0.34977578475336324,628,True
0.42105263157894735,0.5108968900487955,0.1309972470289791,0.389079208512962,0.005943451411423815,0.3452914798206278,572,False
0.631578947368421,0.48997460766026885,0.12250458884141971,0.37983297594047793,0.005551922276527451,0.34080717488789236,609,False
0.631578947368421,0.5025352442920367,0.11663170939831298,0.49142291202477906,0.005287009434711996,0.3452914798206278,574,False
0.631578947368421,0.5172391475197633,0.1096409994022276,0.3950421247990748,0.004969754987799243,0.3452914798206278,587,False
0.5263157894736842,0.5592772974856309,0.1393795478838292,0.19351999770761755,0.006318912505002354,0.34080717488789236,624,False
0.631578947368421,0.5125991123073623,0.0724969498666698,0.9578524158254388,0.0032905178334780606,0.3452914798206278,569,False
0.47368421052631576,0.49523449281565574,0.08617709200086043,0.8667115767896176,0.0039060436817847308,0.3452914798206278,644,False
0.5263157894736842,0.5406958284220553,0.12337674293741507,0.39648091488157167,0.0055949155261086495,0.34080717488789236,641,False
0.631578947368421,0.502285987314195,0.11564979770648084,0.47154588327715385,0.005242930616357495,0.34080717488789236,635,False
0.5789473684210527,0.49745582571327485,0.12288895081882363,0.7867501021663357,0.005565293573180848,0.34080717488789236,600,False
0.8947368421052632,0.48941294302428806,0.06741268768539398,0.9632265871963652,0.003058658553232609,0.3542600896860987,589,True
0.6842105263157895,0.49543245970888433,0.07038179501464718,0.9791918613471472,0.003192566724610755,0.3452914798206278,619,False
0.8947368421052632,0.5121094827399196,0.13629819622862757,0.8219656273822389,0.006182119100825158,0.3452914798206278,565,False
0.631578947368421,0.5310628486571509,0.08090802492627236,0.8583373780675991,0.0036721937894519303,0.3452914798206278,599,False
0.7368421052631579,0.46514956565433546,0.12311766698969323,0.4977427407097133,0.005578124816463242,0.34080717488789236,574,False
0.7894736842105263,0.5137541859306382,0.07778030195550957,0.934289593988128,0.003525579348717232,0.34080717488789236,607,False
0.5789473684210527,0.4717737917289487,0.1212376126932309,0.40214317289227647,0.005497383374189962,0.34080717488789236,578,False
0.5789473684210527,0.5005654811334931,0.09970769915242918,0.5004022001373436,0.004525678585743192,0.34977578475336324,596,False
0.7368421052631579,0.5011870218939594,0.10198779386964574,0.838609660639076,0.004624902254204225,0.34977578475336324,586,False
0.631578947368421,0.49339251395625516,0.10229370173180816,0.5932626234648254,0.004641487191040066,0.34080717488789236,578,False
0.631578947368421,0.4732285459794828,0.1295802642008827,0.34703514340042074,0.00587467175179678,0.34977578475336324,597,True
0.6842105263157895,0.4932560769536418,0.12383232320766656,0.2637669327762895,0.0056166635111258665,0.34977578475336324,666,False
0.7368421052631579,0.4871240335251888,0.11601898619781566,0.24298274733541098,0.005265750637230975,0.3542600896860987,553,True
0.6842105263157895,0.4941876509141083,0.11631864689542415,0.11329678059274965,0.005275869670465246,0.3452914798206278,585,False
0.7368421052631579,0.4870925375959866,0.12298280146721144,0.6334996525811648,0.005578049088137083,0.34977578475336324,569,False
0.5789473684210527,0.49493107789071916,0.11710689267882798,0.5212041320226939,0.005309237136284226,0.34080717488789236,613,False
0.7894736842105263,0.47713004484304933,0.12242706752823213,0.5755563081295344,0.00555900717018528,0.3452914798206278,592,False
0.6842105263157895,0.4762468416380233,0.10789126054555839,0.7387286922130119,0.00489366088384575,0.34977578475336324,586,False
0.7368421052631579,0.4865035866530635,0.10970897392623502,0.8501062071473096,0.004975496564867391,0.34977578475336324,592,True
0.5263157894736842,0.4729322741325243,0.13892018472738132,0.27169068958736947,0.006301141425110465,0.3452914798206278,584,False
0.7894736842105263,0.48331157404779473,0.14641303129940297,0.4964238559035894,0.006639232802567636,0.3452914798206278,621,False
0.6842105263157895,0.4897407495962174,0.13182466917107005,0.6031387455987073,0.0059793249107461255,0.34977578475336324,604,False
0.47368421052631576,0.49577223688358063,0.14857014436889757,0.46395486217839144,0.006740707489975378,0.34977578475336324,598,False
0.631578947368421,0.4796562032884903,0.1320471549901212,0.5205011366640048,0.005989520559307944,0.3452914798206278,630,False
0.7368421052631579,0.5211114228514092,0.07466912097103076,0.9371732337515745,0.003386733669835087,0.34977578475336324,584,False
0.5789473684210527,0.464850767122194,0.09288705587206851,0.9055131905084459,0.004210414948768476,0.3542600896860987,596,True
0.6842105263157895,0.48556948727177224,0.14554077913068533,0.40790572235168776,0.006599708926998027,0.336322869955157,618,False
0.7894736842105263,0.47326233183856503,0.09164358989394207,0.8585446060566289,0.004160627972589061,0.34977578475336324,580,True
0.42105263157894735,0.4773772565252386,0.11041338829116754,0.4132301970193825,0.005005713404237802,0.3452914798206278,602,False
