subset,n,descriptor,target,rho,perm_p,param_p,fdr_p
D: no largest domain,17,D2_transition,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D3_alg_conn,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D3_norm_gap,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D3_fiedler_bim,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D3_entropy,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D4_h1_bars,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D4_h1_persist,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D4_h1_entropy,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D4_h1_bars_norm,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D4_cycle_rank,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D4_cycle_rank_norm,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D1_csi,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D1_frag_onset,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D1_n_comm,test_rate,,1.0,1.0,1.0
D: no largest domain,17,D1_modularity,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D2_max_gini,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D2_transition,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D3_alg_conn,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D3_norm_gap,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D3_fiedler_bim,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D3_entropy,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D4_h1_bars,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D4_h1_persist,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D4_h1_entropy,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D4_h1_bars_norm,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D4_cycle_rank,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D4_cycle_rank_norm,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D1_csi,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D1_frag_onset,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D1_n_comm,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D1_modularity,doc_rate,,1.0,1.0,1.0
E: internal + no largest,5,D2_max_gini,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D2_transition,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D3_alg_conn,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D3_norm_gap,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D3_fiedler_bim,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D3_entropy,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D4_h1_bars,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D4_h1_persist,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D4_h1_entropy,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D4_h1_bars_norm,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D4_cycle_rank,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D4_cycle_rank_norm,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D1_csi,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D1_frag_onset,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D1_n_comm,test_rate,,1.0,1.0,1.0
E: internal + no largest,5,D1_modularity,test_rate,,1.0,1.0,1.0
