scale,governance,seed,N,M,D1_csi,D1_frag_onset,D1_stab_var,D1_n_comm_g1,D1_mod_g1,D2_max_gini,D2_transition,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D3_entropy,D4_h1_bars,D4_h1_persist,D4_h1_entropy,D4_h1_bars_norm,D4_cycle_rank,D4_cycle_rank_norm,BL_mean_degree,BL_std_degree,BL_max_in_degree,BL_max_out_degree,BL_mean_betweenness,BL_max_betweenness,BL_max_pagerank,BL_diameter,BL_density,MTTD_stew_mean,MTTD_stew_max,MTTD_bc_mean,MTTD_rand_mean,MTTD_stew_undetected
tiny,baseline,42,18,32,0.7368421052631579,0.6951927961775606,0.20829235167358537,4,0.230683393166903,0.5512820512820513,1,1.0162120648272381,0.12396748620333066,0.3812878875373629,3.8756696636342336,15,15.0,3.9068905956084965,0.8333333333333334,15,0.8333333333333334,3.5555555555555554,1.0122703976826999,3,5,0.00837418300653595,0.031495098039215685,0.13983663277606573,4,0.10457516339869281,2.0,2.0,1.5,1.5,0
tiny,baseline,43,18,32,0.8421052631578947,0.6951927961775606,0.20958274302270183,5,0.2591298053387651,0.5796296296296296,1,0.8227714606834441,0.09685064091183535,0.3755651383716302,3.862272423890251,15,15.0,3.9068905956084965,0.8333333333333334,15,0.8333333333333334,3.5555555555555554,1.11665284679121,3,5,0.006944444444444444,0.025735294117647058,0.09948927618299729,5,0.10457516339869281,2.5,4.0,2.5,1.75,0
tiny,baseline,44,18,32,0.7894736842105263,0.5455594781168519,0.2085407327572642,4,0.2488726756012754,0.5444444444444444,1,0.8137971603602769,0.09968613908950309,0.7740553213852692,3.861472440931781,15,15.0,3.9068905956084965,0.8333333333333334,15,0.8333333333333334,3.5555555555555554,1.11665284679121,3,5,0.00837418300653595,0.03216911764705882,0.13721401850796297,4,0.10457516339869281,3.0,3.0,1.5,2.25,0
tiny,baseline,45,18,32,0.631578947368421,0.6951927961775606,0.22569457851521263,4,0.22974886389085702,0.5828625235404896,0,1.0556753127769543,0.1191100618993262,0.3195178018371398,3.789839621723062,16,16.0,3.999999999999977,0.8888888888888888,16,0.8888888888888888,3.5555555555555554,1.4614384931073228,3,6,0.006740196078431373,0.02683823529411765,0.15217280384453724,4,0.10457516339869281,3.25,4.0,2.5,2.0,0
tiny,baseline,46,18,32,0.631578947368421,0.6951927961775606,0.21281745588678266,4,0.21266196221008296,0.5495726495726496,1,1.077403541468312,0.119222094439152,0.4678329013107893,3.8475256346542115,15,15.0,3.9068905956084965,0.8333333333333334,15,0.8333333333333334,3.5555555555555554,1.3005222123021807,3,7,0.008374183006535946,0.03284313725490196,0.13732876670335648,4,0.10457516339869281,2.5,4.0,1.5,2.0,0
tiny,baseline,47,18,32,0.631578947368421,0.5455594781168519,0.2111235785239801,5,0.22016314006357682,0.5405643738977073,1,0.9679378998148637,0.11506271879921982,0.5955495200869397,3.860079631632052,15,15.0,3.9068905956084965,0.8333333333333334,15,0.8333333333333334,3.5555555555555554,1.1653431646335017,3,6,0.007965686274509803,0.03259803921568628,0.13788714198709648,4,0.10457516339869281,2.5,4.0,2.0,2.0,0
tiny,baseline,48,18,32,0.6842105263157895,0.5455594781168519,0.21126497778300193,4,0.24721910447087792,0.5520833333333334,1,0.9631597059881488,0.11591855294762873,0.4035314877145197,3.8640016627375915,15,15.0,3.9068905956084965,0.8333333333333334,15,0.8333333333333334,3.5555555555555554,1.11665284679121,3,6,0.008169934640522878,0.03272058823529412,0.1459184313144185,5,0.10457516339869281,2.0,2.0,1.5,2.25,0
tiny,baseline,49,18,32,0.6842105263157895,0.6951927961775606,0.21048626655519112,4,0.2242369601228654,0.5617283950617284,0,0.9546390565063579,0.1146054493745378,0.3917239468712352,3.8567870091272995,15,15.0,3.9068905956084965,0.8333333333333334,15,0.8333333333333334,3.5555555555555554,1.1653431646335017,3,5,0.007965686274509803,0.03272058823529411,0.13404392100975027,4,0.10457516339869281,2.0,2.0,1.5,1.5,0
tiny,baseline,50,18,32,0.7368421052631579,0.5455594781168519,0.2082405255539098,5,0.2580274245851668,0.5016835016835017,2,1.0565618883552896,0.13260997124944843,0.42656976426035537,3.8874033183589636,15,15.0,3.9068905956084965,0.8333333333333334,15,0.8333333333333334,3.5555555555555554,0.8958064164776166,3,5,0.00857843137254902,0.034926470588235295,0.14536797090628123,4,0.10457516339869281,3.0,3.0,2.0,2.0,0
tiny,baseline,51,18,32,0.7368421052631579,0.6951927961775606,0.21091140601826236,4,0.19078219861566872,0.5364583333333334,1,1.1002185713103896,0.1300905965056216,0.5536393396362922,3.871890841219269,15,15.0,3.9068905956084965,0.8333333333333334,15,0.8333333333333334,3.5555555555555554,1.0657403385139377,3,5,0.008169934640522876,0.030698529411764704,0.14465067550735683,4,0.10457516339869281,2.5,4.0,2.0,2.0,0
