project_id,repo_url,status,snapshots,date_start,date_end,span_days,span_years,nodes_first,nodes_last,nodes_min,nodes_max,edges_first,edges_last,edges_min,edges_max,node_growth_multiple,edge_growth_multiple,nodes_first_viable,date_first_viable,node_growth_from_first_viable,tier,net_contraction_from_peak_pct,median_giant_component_frac,median_edges_per_node,median_snapshot_gap_days,max_snapshot_gap_days,drift_events,n_dbt_projects_at_head,model_paths,head_sha,stars,license,strata,edge_recall_strict,pct_edges_recovered,pct_nodes_touched_by_recovered,edges_dropped_as_commented_out,median_doc_rate,median_test_rate,error,composition,composition_rule,has_integration_tests,consumes_packages
coderxio__sagerx,https://github.com/coderxio/sagerx.git,success,33,2023-03-02,2026-04-16,1141,3.12,36,117,33,122,51,135,45,135,3.25,2.65,36,2023-03-02,3.25,core,4.1,0.625,1.1833,30,146,16,0,dbt/sagerx/models,753dcfcc91b4d972709eebe3da058eea9617d20e,78,NOASSERTION,S2_topic_dbt,1.0,0.0,0.0,19,0.6875,0.38806,,estate,"no package, docs or demo signal",False,False
Velir__dbt-ga4,https://github.com/Velir/dbt-ga4.git,success,32,2022-04-18,2026-01-28,1380,3.78,15,60,15,60,18,69,18,69,4.0,3.83,15,2022-04-18,4.0,core,0.0,1.0,1.1964,30,426,9,0,models,f421312bf7a33bad82f4737059670de2dc25cd32,401,MIT,S3_code,1.0,0.0,0.0,0,0.5,0.357143,,package,repository name matches the dbt package convention,False,True
edanalytics__edu_wh,https://github.com/edanalytics/edu_wh.git,success,32,2022-12-02,2026-08-04,1340,3.67,52,130,52,130,79,183,79,183,2.5,2.32,52,2022-12-02,2.5,core,0.0,0.9355,1.4894,40,135,2,0,models,1aef0af15cbc32565e7c905085d07106d173655b,18,NOASSERTION,S3_code,0.9768,2.32,5.79,0,0.42268,0.360825,,estate,"no package, docs or demo signal",False,True
fivetran__dbt_ad_reporting,https://github.com/fivetran/dbt_ad_reporting.git,success,32,2020-08-24,2026-05-18,2092,5.73,4,20,4,20,0,10,0,10,5.0,,14,2022-08-10,1.43,extended,0.0,0.1429,0.4667,47,272,1,0,models,c51b83428447fc2e08337399510bd07426f6f182,218,Apache-2.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,0.466667,0.466667,,package,ships an integration_tests project,True,True
MTES-MCT__trackdechets-meltano-workspace,https://github.com/MTES-MCT/trackdechets-meltano-workspace.git,success,31,2022-09-28,2025-03-13,897,2.46,7,178,7,178,4,235,4,235,25.43,58.75,23,2022-11-07,7.74,core,0.0,0.554,1.0183,28,52,26,0,transform/models,f6869369467a5e6a0e73355db510d6fd607a05cd,0,,S3_code,1.0,0.0,0.0,0,0.019868,0.12844,,estate,"no package, docs or demo signal",False,True
dbt-labs__snowplow,https://github.com/dbt-labs/snowplow.git,success,31,2016-07-27,2022-12-01,2318,6.35,8,14,5,17,9,23,4,24,1.75,2.56,10,2016-09-22,1.4,extended,17.65,1.0,1.4118,52,379,13,0,models,82d63829766e4c2ef0dfa64f0a4acda563241441,131,Apache-2.0,S3_code,1.0,0.0,0.0,6,0.0,0.0,,package,ships an integration_tests project,True,True
Opetushallitus__ovara,https://github.com/Opetushallitus/ovara.git,success,30,2024-04-02,2026-08-03,853,2.34,6,332,6,332,3,359,3,359,55.33,119.67,73,2024-05-02,4.55,core,0.0,0.6548,0.9679,29,54,18,0,dbt/models,6ce5af8f83ba59e4a115dada31c41cd8493b53de,0,NOASSERTION,S3_code,0.8337,16.63,30.8,74,0.325123,0.503937,,estate,"no package, docs or demo signal",False,True
dagster-io__dagster,https://github.com/dagster-io/dagster.git,success,30,2020-08-18,2026-05-20,2100,5.75,4,51,4,51,3,45,3,45,12.75,15.0,18,2022-08-03,2.83,extended,0.0,0.3125,0.8788,46,554,4,0,python_modules/libraries/dagster-dbt/dagster_dbt_tests/dbt_projects/test_dagster_metadata/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/dagster_dbt_test_project/models;examples/airlift-migration-tutorial/tutorial_example/shared/dbt/models;examples/assets_dbt_python/dbt_project/models;examples/assets_modern_data_stack/dbt_project/models;examples/assets_smoke_test/dbt_project/models;examples/data-quality-patterns/dbt_project/models;examples/docs_beta_snippets/docs_beta_snippets/guides/etl/transform-dbt/basic-dbt-project/models;examples/docs_projects/project_dbt/src/project_dbt/analytics/models;examples/docs_projects/project_etl_tutorial/transform/jdbt/models;examples/project_analytics/dagster_pypi/dbt_project/models;examples/project_databricks_and_snowflake/projects/snowflake-medallion/src/snowflake_medallion/dbt_project/models;examples/project_fully_featured/dbt_project/models;examples/snowflake_cortex/dbt_project/models;examples/starlift-demo/dbt_example/shared/dbt/models;python_modules/dagster-cloud/dagster_cloud_tests/dagster_insights_tests/bigquery_jaffle_with_check_failure/models;python_modules/dagster-cloud/dagster_cloud_tests/dagster_insights_tests/bigquery_jaffle_with_execution_project/models;python_modules/dagster-cloud/dagster_cloud_tests/dagster_insights_tests/jaffle_project/models;python_modules/libraries/dagster-components/dagster_components_tests/code_locations/dbt_project_location/components/jaffle_shop_dbt/jaffle_shop/models;python_modules/libraries/dagster-components/dagster_components_tests/code_locations/jaffle_shop_dbt/jaffle_shop/models;python_modules/libraries/dagster-components/dagster_components_tests/code_locations/templated_custom_keys_dbt_project_location/components/jaffle_shop_dbt/jaffle_shop/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/components/code_locations/dbt_project_location/defs/jaffle_shop_dbt/jaffle_shop/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/components/code_locations/dependency_on_dbt_project_location/defs/jaffle_shop_dbt/jaffle_shop/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/components/code_locations/templated_custom_keys_dbt_project_location/defs/jaffle_shop_dbt/jaffle_shop/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/dbt_projects/pre_packaged_jaffle_shop/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/dbt_projects/test_dagster_dbt_dependencies/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/dbt_projects/test_dagster_dbt_functions/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/dbt_projects/test_jaffle_with_profile_vars/models,8e7f0b74256a7f159d60f003fbed92060c7ba0da,15931,Apache-2.0,S3_code,0.9861,1.39,2.43,0,0.32,0.181818,,package,ships an integration_tests project,True,True
dpguthrie__snowflake-dbt-demo-project,https://github.com/dpguthrie/snowflake-dbt-demo-project.git,success,30,2020-10-29,2023-08-12,1016,2.78,20,33,20,33,16,20,16,21,1.65,1.25,20,2020-10-29,1.65,core,0.0,0.75,0.7917,29,153,7,0,models,8e626c5bf41dd281a1e52b10641bd6ec8b411001,24,,S3_code,0.9896,1.04,1.6,0,0.7,0.708333,,demo,repository name indicates a demo or tutorial,False,True
get-select__dbt-snowflake-monitoring,https://github.com/get-select/dbt-snowflake-monitoring.git,success,30,2022-10-30,2026-03-09,1226,3.36,11,25,11,26,11,24,11,24,2.27,2.18,11,2022-10-30,2.27,core,3.85,0.75,0.9583,35,130,8,0,models,ff52462722e6e7eb8063d85f6434fb13dc780055,260,MIT,S2_topic_dbt;S3_code,0.9908,0.92,1.71,0,0.923077,0.041667,,package,repository name matches the dbt package convention,False,True
